"","country","year","dem_ind","log_gdppc","log_pop","age_1","age_2","age_3","age_4","age_5","educ","age_median","code"
"46","Argentina",2000,1,9.23660945892334,10.4564504623413,0.289001405239105,0.248389303684235,0.189973503351212,0.140790402889252,0.131845399737358,8.11900043487549,27.3999996185303,6
"59","Australia",2000,1,10.0119600296021,9.80161952972412,0.215194806456566,0.225652903318405,0.233399704098701,0.167441293597221,0.158311203122139,10.3070001602173,33.7000007629395,9
"68","Austria",2000,1,9.95350170135498,8.99305438995361,0.175447300076485,0.213966205716133,0.231983095407486,0.181038796901703,0.197564601898193,8.43900012969971,36.4000015258789,10
"85","Belgium",2000,1,9.94823169708252,9.22392654418945,0.179737597703934,0.201440304517746,0.22955510020256,0.17559440433979,0.213672697544098,8.54599952697754,37.5,15
"93","Benin",2000,0.833333313465118,6.97151184082031,8.61104774475098,0.479517191648483,0.253474801778793,0.150877803564072,0.0724214017391205,0.0437088012695312,1.94599997997284,16,16
"106","Bangladesh",2000,0.666666686534882,7.29102420806885,11.6963300704956,0.410498708486557,0.282295793294907,0.174715995788574,0.0840964019298553,0.0483931005001068,2.3199999332428,19.2000007629395,18
"139","Bolivia",2000,1,7.86878204345703,8.91112518310547,0.40580290555954,0.270891785621643,0.165262699127197,0.0961358025670052,0.0619066990911961,5.18300008773804,19.6000003814697,25
"148","Brazil",2000,0.666666686534882,8.81952476501465,11.9796800613403,0.324054598808289,0.281506389379501,0.210779398679733,0.113107100129128,0.0705526024103165,4.17500019073486,23.8999996185303,26
"154","Barbados",2000,1,9.52459907531738,5.57670593261719,0.226053595542908,0.26819920539856,0.245210707187653,0.118773899972439,0.141762495040894,8.71599960327148,30.3999996185303,27
"172","Botswana",2000,0.833333313465118,8.68087387084961,7.30988216400146,0.427834987640381,0.299613386392593,0.159149497747421,0.0747423022985458,0.0386597998440266,4.7020001411438,18,30
"180","Central African Republic",2000,0.666666686534882,6.99715709686279,8.11581993103027,0.429210096597672,0.262891203165054,0.157377004623413,0.0903130024671555,0.0602086000144482,1.99000000953674,18.3999996185303,31
"189","Canada",2000,1,10.0409297943115,10.2871799468994,0.203576892614365,0.211105406284332,0.256140410900116,0.168352901935577,0.160824403166771,11.1829996109009,34.7999992370605,32
"198","Switzerland",2000,1,10.1078996658325,8.85950565338135,0.171139493584633,0.19179430603981,0.240972295403481,0.196150094270706,0.199943795800209,10.1820001602173,38.0999984741211,33
"207","Chile",2000,0.833333313465118,9.04640674591064,9.56172943115234,0.294531613588333,0.258287012577057,0.222464606165886,0.129073098301888,0.0956436023116112,7.5310001373291,27,34
"216","China",2000,0,7.94382476806641,14.0018701553345,0.264353811740875,0.28570631146431,0.227709695696831,0.128965601325035,0.093264602124691,5.48400020599365,27.6000003814697,35
"232","Cameroon",2000,0,7.52544689178467,9.49348735809326,0.444311887025833,0.266214400529861,0.1470105946064,0.0872969031333923,0.0551661998033524,2.75300002098083,17.6000003814697,37
"240","Congo, Rep.",2000,0.166666701436043,7.47328901290894,7.86441993713379,0.460831105709076,0.266689389944077,0.144073605537415,0.0810626968741417,0.0473432987928391,4.26900005340576,16.8999996185303,38
"249","Colombia",2000,0.5,8.60883808135986,10.5599203109741,0.344299703836441,0.286674290895462,0.203933402895927,0.0996574983000755,0.0654350966215134,4.67999982833862,22.8999996185303,39
"268","Costa Rica",2000,1,8.58184146881104,8.14031600952148,0.344748198986053,0.267913699150085,0.214100703597069,0.100719399750233,0.0725179985165596,5.82399988174438,23.5,42
"285","Cyprus",2000,1,9.68424987792969,6.59577989578247,0.25168240070343,0.219380900263786,0.218034997582436,0.161507397890091,0.149394303560257,8.59899997711182,31.8999996185303,44
"339","Denmark",2000,1,10.0716400146484,8.56178379058838,0.173713400959969,0.210445806384087,0.219054892659187,0.198201596736908,0.19858430325985,9.85599994659424,37.7000007629395,52
"348","Dominican Republic",2000,0.833333313465118,8.2214412689209,8.94858646392822,0.364511489868164,0.283205389976501,0.191361993551254,0.101079702377319,0.059841301292181,4.86600017547607,21.7999992370605,53
"355","Algeria",2000,0.166666701436043,8.43754005432129,10.2420997619629,0.392445892095566,0.293303191661835,0.175293207168579,0.0806699991226196,0.0582875981926918,3.90700006484985,19.7000007629395,54
"364","Ecuador",2000,0.666666686534882,8.2642707824707,9.34661769866943,0.365167111158371,0.289485186338425,0.18451289832592,0.0958520025014877,0.0649828985333443,6.24900007247925,21.3999996185303,55
"373","Egypt, Arab Rep.",2000,0.166666701436043,8.19003772735596,10.9713001251221,0.39186230301857,0.259624600410461,0.181167796254158,0.102483801543713,0.064861498773098,4.24399995803833,20.1000003814697,56
"383","Spain",2000,1,9.69955444335938,10.5766897201538,0.162430793046951,0.249643206596375,0.216290697455406,0.163983300328255,0.207652002573013,6.61600017547607,35.5999984741211,58
"411","Finland",2000,1,9.84103012084961,8.5385627746582,0.190131202340126,0.192676693201065,0.230076402425766,0.197571992874146,0.189543798565865,9.82299995422363,37.7999992370605,63
"417","Fiji",2000,0.166666701436043,8.56222534179688,6.64638996124268,0.356306910514832,0.276983112096786,0.204161196947098,0.111833602190018,0.0507152006030083,7.68300008773804,22,64
"426","France",2000,1,9.90925598144531,10.9654998779297,0.195207998156548,0.212029993534088,0.222831904888153,0.169269695878029,0.20066049695015,7.94399976730347,36.2000007629395,65
"443","United Kingdom",2000,1,9.88386535644531,10.9724998474121,0.192502304911613,0.200561493635178,0.216385304927826,0.182242006063461,0.208308801054955,9.0319995880127,37,67
"452","Ghana",2000,0.833333313465118,7.14920806884766,9.75828838348389,0.438770890235901,0.275531202554703,0.154158100485802,0.0841901004314423,0.0473497994244099,3.74900007247925,17.7999992370605,70
"467","Gambia, The",2000,0,6.97013521194458,7.01661014556885,0.422282099723816,0.253369301557541,0.168912798166275,0.103324301540852,0.0521113984286785,1.42799997329712,19.1000003814697,72
"487","Greece",2000,1,9.43126392364502,9.25512218475342,0.168436199426651,0.225251093506813,0.20860829949379,0.180679097771645,0.21702529489994,8.04699993133545,37.4000015258789,75
"501","Guatemala",2000,0.666666686534882,8.23529624938965,9.20793724060059,0.450526297092438,0.274185389280319,0.144060105085373,0.0786966979503632,0.0525312982499599,2.78600001335144,17.2000007629395,77
"507","Guyana",2000,0.833333313465118,7.87817811965942,6.61069583892822,0.335135102272034,0.314864903688431,0.191891893744469,0.0905404984951019,0.0675676017999649,5.80800008773804,22.3999996185303,78
"516","Honduras",2000,0.666666686534882,7.62664604187012,8.63497638702393,0.437821507453918,0.281710088253021,0.155934005975723,0.0762816965579987,0.0482526011765003,3.88700008392334,17.7999992370605,79
"526","Haiti",2000,0.166666701436043,7.28890705108643,8.87738227844238,0.429067611694336,0.269703388214111,0.154555201530457,0.0892331972718239,0.0574406012892723,2.55900001525879,18.2000007629395,81
"535","Hungary",2000,1,9.0640344619751,9.23298168182373,0.181204095482826,0.225159093737602,0.213411599397659,0.186001002788544,0.194224193692207,8.51799964904785,37.4000015258789,82
"544","Indonesia",2000,0.666666686534882,8.20097637176514,12.169150352478,0.333987414836884,0.293286710977554,0.192820206284523,0.111231103539467,0.0686746016144753,4.03200006484985,23.1000003814697,83
"553","India",2000,0.833333313465118,7.59033679962158,13.7452802658081,0.357283085584641,0.269530206918716,0.189811795949936,0.111884400248528,0.0714904963970184,4.16499996185303,22.6000003814697,84
"562","Ireland",2000,1,9.75650787353516,8.18924427032471,0.242516607046127,0.244456797838211,0.206762701272964,0.153824806213379,0.152438998222351,8.78600025177002,30.8999996185303,85
"571","Iran",2000,0.166666701436043,8.51980495452881,10.9845104217529,0.425241589546204,0.267148613929749,0.165386900305748,0.0801526010036469,0.0620701983571053,3.98099994659424,18.2999992370605,86
"589","Iceland",2000,1,9.92763614654541,5.59098720550537,0.242537304759026,0.231343299150467,0.227611899375916,0.145522400736809,0.152985095977783,8.34799957275391,31.5,88
"598","Israel",2000,1,9.68990039825439,8.6206521987915,0.292204111814499,0.249953299760818,0.195550605654716,0.131426393985748,0.130865603685379,9.0620002746582,27,89
"607","Italy",2000,1,9.91801357269287,10.9543800354004,0.149543598294258,0.221339896321297,0.215196892619133,0.190118804574013,0.223800599575043,6.59999990463257,38.5,90
"614","Jamaica",2000,0.833333313465118,8.24439907073975,7.8160138130188,0.338056713342667,0.2850202023983,0.184210494160652,0.0959514006972313,0.0967610999941826,4.9229998588562,23,91
"623","Jordan",2000,0.5,8.23090171813965,8.34164905548096,0.414215087890625,0.318192511796951,0.14568130671978,0.0804895013570786,0.0414214991033077,6.41699981689453,18.7000007629395,92
"632","Japan",2000,1,10.0548496246338,11.7395696640015,0.159548297524452,0.217170193791389,0.198943197727203,0.219178602099419,0.205159693956375,9.44200038909912,39.7000007629395,93
"640","Kenya",2000,0.166666701436043,7.13342380523682,10.1920099258423,0.465242803096771,0.284337311983109,0.144797399640083,0.0641840025782585,0.0414385013282299,3.50399994850159,16.5,95
"675","Korea, Rep.",2000,0.833333313465118,9.51425743103027,10.716480255127,0.233710005879402,0.280332088470459,0.249872297048569,0.144928202033043,0.0911573022603989,10.0880002975464,29.2999992370605,101
"740","Sri Lanka",2000,0.666666686534882,8.02801322937012,9.75730514526367,0.292060285806656,0.270749002695084,0.218567296862602,0.127586603164673,0.0910369008779526,5.60699987411499,26.3999996185303,109
"746","Lesotho",2000,0.5,7.20724487304688,7.53315877914429,0.430184185504913,0.276886492967606,0.136660695075989,0.0885324031114578,0.0677362009882927,4.25299978256226,18,110
"806","Mexico",2000,0.833333313465118,8.8783540725708,11.4202098846436,0.359412401914597,0.302745014429092,0.178779095411301,0.0954950973391533,0.0635683014988899,6.36600017547607,21.2999992370605,118
"815","Mali",2000,0.833333313465118,6.69913005828857,9.17159938812256,0.486434310674667,0.272955507040024,0.131408706307411,0.0702906027436256,0.0389108993113041,0.686999976634979,15.6000003814697,120
"822","Malta",2000,1,9.43182277679443,5.93489408493042,0.219576701521873,0.208994701504707,0.222222194075584,0.190476194024086,0.158730193972588,7.12099981307983,35,121
"845","Mozambique",2000,0.666666686534882,6.68827486038208,9.66903018951416,0.444639503955841,0.269968688488007,0.149655193090439,0.08576799929142,0.0499687008559704,1.00800001621246,17.7000007629395,125
"859","Mauritius",2000,1,9.33515644073486,7.02286815643311,0.273291885852814,0.275066614151001,0.244010597467422,0.12244900316,0.085181899368763,5.34000015258789,27.2999992370605,127
"866","Malawi",2000,0.666666686534882,6.51129007339478,9.12804508209229,0.440585196018219,0.272492110729218,0.151074796915054,0.0831011012196541,0.0527467988431454,2.59599995613098,17.7999992370605,128
"874","Malaysia",2000,0.333333313465118,9.07163143157959,9.93352508544922,0.357868909835815,0.267616003751755,0.207463800907135,0.107684798538685,0.0593665987253189,7.65000009536743,22.5,129
"884","Niger",2000,0.5,6.71674823760986,9.11701774597168,0.497399002313614,0.264084100723267,0.138129502534866,0.0657443031668663,0.0346430987119675,0.694999992847443,15.1000003814697,131
"901","Nicaragua",2000,0.666666686534882,7.50629186630249,8.39525127410889,0.449615895748138,0.281066387891769,0.153411701321602,0.0713962987065315,0.0445097014307976,4.01000022888184,17.2000007629395,133
"910","Netherlands",2000,1,9.94661998748779,9.64601135253906,0.183970496058464,0.215796604752541,0.239148706197739,0.18390579521656,0.177178293466568,8.96199989318848,35.9000015258789,134
"919","Norway",2000,1,10.0812997817993,8.38022708892822,0.194998905062675,0.214039906859398,0.218398705124855,0.172516599297523,0.200045898556709,11.8170003890991,36.0999984741211,135
"928","Nepal",2000,0.666666686534882,7.12487316131592,9.92520046234131,0.412245094776154,0.268541991710663,0.16409569978714,0.0985720008611679,0.0565452016890049,1.53299999237061,19.2999992370605,136
"937","New Zealand",2000,1,9.76537036895752,8.20398807525635,0.23104690015316,0.227159097790718,0.229102998971939,0.159400194883347,0.153290703892708,11.3109998703003,32.5999984741211,137
"951","Pakistan-post-1972",2000,0.166666701436043,7.55135107040405,11.7148399353027,0.430973589420319,0.253496497869492,0.1653853058815,0.0942090004682541,0.0559355989098549,2.37700009346008,18.3999996185303,140
"969","Panama",2000,1,8.6348705291748,7.87511920928955,0.332834213972092,0.289030313491821,0.19505800306797,0.107824802398682,0.0752526968717575,7.69700002670288,23.3999996185303,142
"978","Peru",2000,0.666666686534882,8.39568519592285,10.078989982605,0.363846093416214,0.285941988229752,0.182867005467415,0.101858496665955,0.0654864013195038,6.9229998588562,21.5,144
"987","Philippines",2000,0.833333313465118,8.01609992980957,11.132269859314,0.394283205270767,0.285532593727112,0.176811203360558,0.0918634012341499,0.0515096001327038,7.33400011062622,19.7999992370605,145
"992","Papua New Guinea",2000,0.833333313465118,8.17733478546143,8.41626739501953,0.418634295463562,0.284407585859299,0.173367395997047,0.0833865031599998,0.0402042008936405,2.08599996566772,19,147
"1001","Poland",2000,1,8.89310932159424,10.5606899261475,0.227997004985809,0.219939395785332,0.234862804412842,0.159390598535538,0.157810196280479,9.72700023651123,33.7999992370605,148
"1019","Portugal",2000,1,9.47472953796387,9.20301342010498,0.17795929312706,0.240572705864906,0.208408996462822,0.173623695969582,0.199435397982597,4.54099988937378,35.5999984741211,150
"1028","Paraguay",2000,0.5,8.58715629577637,8.4548921585083,0.416235208511353,0.266929000616074,0.18285359442234,0.0822115987539291,0.0517706014215946,5.72800016403198,19.2000007629395,151
"1058","Rwanda",2000,0,6.60764598846436,8.6475191116333,0.465537399053574,0.275311499834061,0.146417394280434,0.0753505006432533,0.0373831987380981,1.76199996471405,16.5,155
"1083","Senegal",2000,0.666666686534882,7.28402090072632,9.02376937866211,0.456693887710571,0.26811420917511,0.15343089401722,0.0813340023159981,0.0404270999133587,2.04900002479553,17,160
"1090","Singapore",2000,0.333333313465118,10.027569770813,8.16791915893555,0.222797900438309,0.23891769349575,0.297927498817444,0.148244097828865,0.0921128019690514,7.81699991226196,31.7999992370605,162
"1101","Sierra Leone",2000,0.5,6.78989315032959,8.41405200958252,0.435708999633789,0.266225814819336,0.158216997981071,0.091109499335289,0.0487386994063854,1.64900004863739,18.1000003814697,165
"1110","El Salvador",2000,0.833333313465118,8.33805274963379,8.6429443359375,0.374095588922501,0.303687989711761,0.158108398318291,0.0952885001897812,0.0688195005059242,4.05000019073486,20.2000007629395,166
"1139","Sweden",2000,1,9.93772029876709,9.08602333068848,0.1885125041008,0.194969996809959,0.203919798135757,0.192250996828079,0.220346704125404,11.2349996566772,38.5,172
"1158","Syrian Arab Republic",2000,0,8.27503108978271,9.56247520446777,0.444672793149948,0.291675209999084,0.151353195309639,0.0696128979325294,0.0426858998835087,5.21000003814697,17.2999992370605,175
"1174","Togo",2000,0.333333313465118,6.78126811981201,8.2712926864624,0.449211686849594,0.269578695297241,0.15171879529953,0.0816749036312103,0.0478160008788109,2.67300009727478,17.3999996185303,177
"1183","Thailand",2000,0.833333313465118,8.81956386566162,10.9786596298218,0.287334889173508,0.30073669552803,0.220948293805122,0.11810889840126,0.0728712975978851,5.73000001907349,25.3999996185303,178
"1198","Trinidad and Tobago",2000,0.833333313465118,9.12677192687988,7.14045286178589,0.303727209568024,0.26566219329834,0.218873903155327,0.122918300330639,0.0888184010982513,7.18900012969971,25.5,182
"1206","Tunisia",2000,0.166666701436043,8.61488437652588,9.10024642944336,0.345178186893463,0.287853389978409,0.191529795527458,0.0973293036222458,0.0781093016266823,3.58100008964539,22.5,183
"1215","Turkey",2000,0.5,8.71789741516113,11.0306396484375,0.342286288738251,0.287347406148911,0.191025793552399,0.103757701814175,0.0755826979875565,4.57399988174438,22.7000007629395,184
"1238","Uganda",2000,0.166666701436043,6.69275522232056,9.86370658874512,0.491935104131699,0.266117513179779,0.129038602113724,0.0717210024595261,0.0411878004670143,2.69600009918213,15.3999996185303,188
"1248","Uruguay",2000,1,9.08168506622314,8.07651519775391,0.250310599803925,0.235093206167221,0.192857101559639,0.151863396167755,0.169875800609589,6.8769998550415,31.1000003814697,191
"1257","United States",2000,1,10.2544603347778,12.4867296218872,0.221927493810654,0.210765898227692,0.245028600096703,0.160866692662239,0.161411300301552,12.1789999008179,34,192
"1280","Venezuela, RB",2000,0.666666686534882,8.8669605255127,9.99168109893799,0.362083107233047,0.277249902486801,0.19648240506649,0.102923698723316,0.0612608008086681,5.34999990463257,21.8999996185303,196
"1347","South Africa",2000,1,8.88494205474854,10.574390411377,0.366530686616898,0.292129904031754,0.187553495168686,0.100056201219559,0.0537297986447811,8.07199954986572,21.3999996185303,208
"1355","Congo, Dem. Rep.",2000,0,5.77392482757568,10.6884803771973,0.471374213695526,0.266498386859894,0.139107301831245,0.0789941996335983,0.0440259017050266,2.99200010299683,16.2999992370605,209
"1362","Zambia",2000,0.333333313465118,6.70242691040039,9.10275554656982,0.458435595035553,0.278945714235306,0.139472797513008,0.078966997563839,0.0441788993775845,5.55600023269653,16.8999996185303,210
"1369","Zimbabwe",2000,0.166666701436043,7.88227415084839,9.34792613983154,0.45477020740509,0.282206505537033,0.146730303764343,0.0701680034399033,0.0461249984800816,4.42799997329712,17,211
